,P11,P13,P21,P23,M1,M2
0,0.0,0.0,0.1,0.1,4117.716023243401,72426.98578361662
1,0.01,0.0,0.1,0.1,4860.916936325193,71846.54899127371
2,0.02,0.0,0.1,0.1,5933.086428861123,71009.585812912
3,0.03,0.0,0.1,0.1,7616.6591638114505,69696.33302606795
4,0.04,0.0,0.1,0.1,10655.522992367309,67328.9692072503
5,0.05,0.0,0.1,0.1,17918.02814529311,61687.788029191404
6,0.06,0.0,0.1,0.1,,
7,0.07,0.0,0.1,0.1,99990.1678843662,7.224084518978775
8,0.08,0.0,0.1,0.1,99994.9245905294,3.781859847248597
9,0.09,0.0,0.1,0.1,99996.56414201712,2.593285250515466
10,0.1,0.0,0.1,0.1,99997.4983500641,1.9105821983799953
11,0.11,0.0,0.1,0.1,99998.03111432398,1.5201260893208182
12,0.12,0.0,0.1,0.1,99998.37822101568,1.2647698273407144
13,0.13,0.0,0.1,0.1,99998.69679530062,1.0258236307838748
14,0.14,0.0,0.1,0.1,99998.90680496163,0.86798238475239
15,0.15,0.0,0.1,0.1,99999.03965372386,0.7686636204292836
16,0.16,0.0,0.1,0.1,99999.13031816435,0.701344549227373
17,0.17,0.0,0.1,0.1,99999.25007396337,0.6090340248755348
18,0.18,0.0,0.1,0.1,99999.36709388708,0.5173965447359341
19,0.19,0.0,0.1,0.1,99999.44286399601,0.4582819400551935
20,0.2,0.0,0.1,0.1,99999.5017846887,0.41220880191564163
21,0.21,0.0,0.1,0.1,99999.49495510038,0.42015904233257534
22,0.22,0.0,0.1,0.1,99999.56602010624,0.36291409622150483
23,0.23,0.0,0.1,0.1,99999.59206518628,0.3428097364864625
24,0.24,0.0,0.1,0.1,99999.64415694098,0.3004251918301594
25,0.25,0.0,0.1,0.1,99999.66632132791,0.2829552169383915
26,0.26,0.0,0.1,0.1,99999.72033391603,0.2381465225128832
27,0.27,0.0,0.1,0.1,99999.69912811741,0.25722429025478855
28,0.28,0.0,0.1,0.1,99999.76879241606,0.19841551134728905
29,0.29,0.0,0.1,0.1,99999.7716053112,0.19670963397225258
30,0.3,0.0,0.1,0.1,99999.80969555627,0.1644685623353303
31,0.31,0.0,0.1,0.1,99999.79164637097,0.18066014466976535
32,0.32,0.0,0.1,0.1,99999.81132413016,0.16411277786710032
33,0.33,0.0,0.1,0.1,99999.82267060346,0.1547080570228907
34,0.34,0.0,0.1,0.1,99999.82692891496,0.15142861750582637
35,0.35000000000000003,0.0,0.1,0.1,99999.86737227542,0.11636369413807869
36,0.36,0.0,0.1,0.1,99999.86172266156,0.1216425375938352
37,0.37,0.0,0.1,0.1,99999.88918171395,0.09773534016230341
38,0.38,0.0,0.1,0.1,99999.87634697255,0.10932204343209839
39,0.39,0.0,0.1,0.1,99999.89621574031,0.09197225024428025
40,0.4,0.0,0.1,0.1,99999.91132071255,0.07876470078674029
41,0.41000000000000003,0.0,0.1,0.1,99999.92284044385,0.06868266567991806
42,0.42,0.0,0.1,0.1,99999.90195618746,0.08745636103413264
43,0.43,0.0,0.1,0.1,99999.91040100167,0.08008585455169984
44,0.44,0.0,0.1,0.1,99999.9165380442,0.07474669299816325
45,0.45,0.0,0.1,0.1,99999.92073023749,0.0711266962656662
46,0.46,0.0,0.1,0.1,99999.94899459669,0.045849572615026306
47,0.47000000000000003,0.0,0.1,0.1,99999.95022087227,0.044826426429909534
48,0.48,0.0,0.1,0.1,99999.95042479022,0.04471921069593418
49,0.49,0.0,0.1,0.1,99999.94960158557,0.04553710076746835
50,0.5,0.0,0.1,0.1,99999.94768112658,0.047348164197845696
51,0.51,0.0,0.1,0.1,99999.96545200727,0.03131426552490623
52,0.52,0.0,0.1,0.1,99999.96306010416,0.03353274306293945
53,0.53,0.0,0.1,0.1,99999.95962844681,0.03670144595170116
54,0.54,0.0,0.1,0.1,99999.97303025074,0.02455274830562945
55,0.55,0.0,0.1,0.1,99999.96959614808,0.027717195455341084
56,0.56,0.0,0.1,0.1,99999.96492898297,0.03201468870709568
57,0.5700000000000001,0.0,0.1,0.1,99999.97627629925,0.021684385853291577
58,0.58,0.0,0.1,0.1,99999.97172604549,0.025876122517047302
59,0.59,0.0,0.1,0.1,99999.98079797708,0.01759512858604543
60,0.6,0.0,0.1,0.1,99999.97633033116,0.02171480455137071
61,0.61,0.0,0.1,0.1,99999.98385747852,0.014826527944727596
62,0.62,0.0,0.1,0.1,99999.97939622222,0.01894549230543559
63,0.63,0.0,0.1,0.1,99999.98588608188,0.012992260637727614
64,0.64,0.0,0.1,0.1,99999.98132424075,0.017210009890463018
65,0.65,0.0,0.1,0.1,99999.98714669238,0.011856911834865869
66,0.66,0.0,0.1,0.1,99999.99120515441,0.008121332702074015
67,0.67,0.0,0.1,0.1,99999.98778861352,0.01128743938543466
68,0.68,0.0,0.1,0.1,99999.99160369339,0.007768541847878837
69,0.6900000000000001,0.0,0.1,0.1,99999.98787594328,0.011228189083522995
70,0.7000000000000001,0.0,0.1,0.1,99999.99162040948,0.00776757112806716
71,0.71,0.0,0.1,0.1,99999.99424465881,0.005339796417122758
72,0.72,0.0,0.1,0.1,99999.99124080417,0.008133919355525019
73,0.73,0.0,0.1,0.1,99999.9939512883,0.00562175177617979
74,0.74,0.0,0.1,0.1,99999.99585076343,0.0038595936347087393
75,0.75,0.0,0.1,0.1,99999.9933250692,0.006214075094546381
76,0.76,0.0,0.1,0.1,99999.99539518211,0.004290328473946783
77,0.77,0.0,0.1,0.1,99999.9968457398,0.002941142613311354
78,0.78,0.0,0.1,0.1,99999.99785525893,0.0020013605267077115
79,0.79,0.0,0.1,0.1,99999.99629223475,0.00346263411444404
80,0.8,0.0,0.1,0.1,99999.99746470527,0.00236973440817556
81,0.0,0.01,0.1,0.1,3889.429047486895,72524.1287604121
82,0.01,0.01,0.1,0.1,4545.108128076825,71998.18519391998
83,0.02,0.01,0.1,0.1,5467.241238882999,71258.76527716471
84,0.03,0.01,0.1,0.1,6860.665777756893,70141.99561387136
85,0.04,0.01,0.1,0.1,9214.16655492204,68257.33233891336
86,0.05,0.01,0.1,0.1,14066.814080486374,64377.72741466938
87,0.06,0.01,0.1,0.1,,
88,0.07,0.01,0.1,0.1,,
