,percentage_extremists,uncertainty_moderate,uncertainty_extremists,relative_difference_positive_negative_extrimists,intensity_interaction,embedding
0,0.1,0.2,0.2,0.0,0.2,0.10197419107832904
1,0.3,0.4,0.2,0.5,0.2,0.24307910914959593
2,0.25,0.2,0.05,0.5,0.3,0.12451822472481287
3,0.15,1.0,0.1,0.5,0.1,15.428005604518727
4,0.025,2.0,0.2,0.1,0.2,44.551612426866434
5,0.025,0.4,0.15,0.1,0.5,0.3389773170300985
6,0.05,1.2,0.2,0.3,0.4,200.4003700543282
7,0.2,1.6,0.2,0.3,0.5,14.841087876578245
8,0.25,0.2,0.05,0.3,0.1,0.1276967043343871
9,0.2,0.4,0.1,0.4,0.1,0.5110195163120694
10,0.2,0.2,0.2,0.0,0.2,0.12177138793307976
11,0.05,0.2,0.05,0.4,0.5,0.14579519558870258
12,0.05,1.2,0.1,0.5,0.4,62.18013009072698
13,0.3,1.0,0.15,0.0,0.2,92.28585609281495
14,0.1,2.0,0.1,0.5,0.3,6.881180601124862
15,0.05,0.6000000000000001,0.2,0.4,0.5,0.4994035794367826
16,0.1,2.0,0.05,0.5,0.2,14.946974778648217
17,0.3,1.4,0.2,0.2,0.3,191.7572780871536
18,0.25,0.4,0.1,0.0,0.2,0.6721364132670139
19,0.025,2.0,0.05,0.1,0.2,18.490327312241636
20,0.025,0.6000000000000001,0.15,0.0,0.4,0.6776953339431233
21,0.05,0.2,0.1,0.5,0.3,0.1460702340828701
22,0.1,0.4,0.1,0.0,0.4,0.33369163140682
23,0.15,1.8,0.15,0.5,0.4,9.604635981361373
24,0.025,1.6,0.05,0.1,0.3,87.10070399974369
25,0.1,1.0,0.15,0.5,0.2,34.06955047083605
26,0.25,0.2,0.05,0.5,0.5,0.14915134615406142
27,0.2,0.6000000000000001,0.15,0.2,0.4,5.406124737655828
28,0.3,1.6,0.15,0.3,0.1,9.39419630548221
29,0.05,1.6,0.05,0.3,0.2,41.6075227007913
30,0.025,0.2,0.2,0.0,0.1,0.13553287685374668
31,0.15,2.0,0.15,0.3,0.2,13.261191425572001
32,0.025,1.2,0.05,0.5,0.4,98.21473217584928
33,0.1,1.4,0.2,0.0,0.4,146.2085053431144
34,0.25,1.4,0.2,0.0,0.2,944.8957531752826
35,0.15,1.2,0.1,0.2,0.5,57.97900286313064
36,0.025,1.8,0.05,0.2,0.2,67.32152570365099
