,Susceptible,Infected,Recovered,Dead
0,88064.50616721628,10068.471700630897,1827.4259067662367,39.596225386494524
1,23534.589943603416,59315.7512947299,16673.588604880006,476.0701567864876
2,17705.484530351358,61161.34653286628,20222.08110898053,911.0878278019287
3,15325.165907439852,62687.15191522128,20797.828454577728,1189.8537227608904
4,13172.038397272863,64190.83497580929,21250.857415396596,1386.2692115211626
5,11518.556675027328,65332.08947223195,21616.818351002035,1532.535501738607
6,10235.780887135765,66212.74476475532,21905.83965168235,1645.634696426481
7,9211.403195318517,66915.21230327428,22137.7143433592,1735.6701580478486
8,87814.70776795068,10261.040917464778,1843.5990095232933,80.65230506130409
9,23283.731800412228,59227.01209840649,16532.317625039508,956.9384761417688
10,17521.994293287793,60732.262707536735,19924.616785864146,1821.1262133110267
11,15167.70812834502,62034.576284797564,20425.046114689136,2372.669472168329
12,13038.814843356378,63378.16739281256,20822.73360331152,2760.2841605197555
13,11402.37736312733,64401.91452627017,21147.252262691993,3048.4558479106254
14,10132.525359789974,65192.131790164836,21404.31748095685,3271.025369088289
15,9118.458892221626,65822.68918492443,21610.796479979537,3448.0554428746323
16,87560.78796816526,10456.39801165866,1859.6105859030067,123.20343427298047
17,23034.229179904298,59133.979513285725,16389.24620148399,1442.5451053257393
18,17338.611943848147,60302.73647826544,19628.607818113906,2730.043759772481
19,15010.322590644982,61385.247083189424,20056.003332516437,3548.4269936492374
20,12905.646693329994,62572.03988099981,20400.219618531628,4122.093807138291
21,11286.261124724526,63481.06604317847,20684.792658987815,4547.88017310891
22,10029.331244181662,64183.19549255755,20911.116606925632,4876.356656334981
23,9025.570883843096,64743.826942963366,21093.20240218607,5137.399771007378
24,87302.71503216251,10654.551158291724,1875.4484969228843,167.28531262278625
25,22786.054301565197,59036.699709447515,16244.41640770313,1932.8295812842925
26,17155.338760916704,59872.812963159195,19334.078439979265,3637.7698359450105
27,14853.008310680576,60739.18910144582,19690.695517193348,4717.1070706804585
28,12772.532201433718,61772.441460358066,19983.278546976,5471.747791232017
29,11170.206432699473,62569.49380363489,20229.37213843244,6030.92762523301
30,9926.197403064276,63185.847964097804,20426.142211345574,6461.812421492159
31,8932.738257117382,63678.503167367075,20584.8131035899,6803.945471925976
32,87040.45826644648,10855.507284307818,1891.1003092841495,212.93413996132114
33,22539.179899386225,58935.21888442047,16097.870362888689,2427.7308533047308
34,16972.17601438196,59442.536981715035,19041.0524241566,4544.23457974642
35,14695.764316848592,60096.426549256605,19329.11761827928,5878.691515615436
36,12639.469605425476,60979.36069223285,19571.873283783105,6809.296418558541
37,11054.211725514744,61667.147434130755,19780.92348686572,7497.71735348894
38,9823.122667711568,62200.00151742412,19949.300068493307,8027.5757463708105
39,8839.960074911227,62626.59607002099,20085.5105660452,8447.933289022494
40,86773.98806862405,11059.272024882792,1906.5532947416593,260.1866117513934
41,22293.579223112105,58829.583254586774,15949.65021689474,2927.1873054061884
42,16789.124966061085,59011.953050154705,18749.553082076207,5449.368901707955
43,14538.589650322863,59456.98305756901,18971.26413165851,7033.16316044981
44,12506.457127170986,60192.78568557176,19165.966540220586,8134.79064703681
45,10938.275406907613,60773.976414150064,19339.379682407205,8948.36849653515
46,9720.10583704916,61225.568691300934,19480.49654670376,9573.828924946267
47,8747.235375142789,61587.98448719831,19595.177756949925,10069.602380709171
48,86503.27597654647,11265.849679821284,1921.7944297486417,309.0799138836172
49,22049.226038865818,58719.83904707338,15799.798135596962,3431.1367784639133
50,16606.18687062201,58581.1053768624,18459.603264276666,6353.104488238941
51,14381.483365793458,58820.881681235085,18617.12910544415,8180.505847527313
52,12373.492973273029,59412.70410311889,18765.520850532783,9448.282073075294
53,10822.395845616042,59889.93008326686,18904.673900343736,10383.000170773332
54,9617.145676785714,60262.46225619595,19019.63860981355,11100.753457204824
55,8654.563169877532,60562.54788197589,19113.698626475187,11669.190321671282
56,86228.29471762052,11475.243170059755,1936.810395388184,359.6517169317034
57,21806.094629182247,58606.032492104365,15648.356286646198,3939.516592067309
58,16423.36297650221,58150.037857928386,18171.225360866196,7255.373804703399
59,14224.444532224212,58188.144901697626,18266.706145889304,9320.704420188915
60,12240.575335740677,58639.10316756302,18370.49857872628,10749.82291796981
61,10706.571375140127,59014.957648156866,18476.739517921073,11801.73145878175
62,9514.240918546533,59310.595219786424,18566.633818511385,12608.530043155772
63,8561.942444401662,59550.16634660404,18640.95810472935,13246.933104264874
64,85949.01825822065,11687.453994343146,1951.5875776013756,411.940169834518
65,21564.159792484308,58488.209815794435,15495.366825609877,4452.263566111677
66,16240.654526824974,57718.79407279603,17884.44130206922,8156.110098309952
67,14067.472233628276,57558.794629705095,17919.98842330092,10453.744713365923
68,12107.702392699814,57871.96966763576,17980.86192529354,12039.46601437082
69,10590.800293541331,58149.00818952528,18055.51011904232,13204.681397891149
70,9411.390259010832,58369.88083238851,18121.39033159425,14097.33857700662
71,8469.372156274008,58550.72060481769,18176.842098853325,14803.065140054905
72,85665.42185312205,11902.482186160558,1966.1120677244708,465.98389299277414
73,21323.396842034894,58366.41723334908,15340.871882492385,4969.314042123274
74,16058.062760312649,57287.417280012356,17599.272558857905,9055.247400816903
75,13910.56556986205,56932.85220806039,17576.96867795805,11579.61354411964
76,11974.872309145157,57111.289964159674,17596.57293387461,13317.264792820657
77,10475.080863281803,57292.0306689465,17640.919498872026,14591.96896889972
78,9308.592359055727,57440.232592312714,17683.816907132335,15567.358141499264
79,8376.851234357011,57564.09201409833,17721.237490050928,16337.819261493765
80,89841.15877979106,8436.151709439075,1689.104024514088,33.58548625556156
81,24358.127184111792,57095.44555332812,18097.93042272092,448.49683983921005
82,18324.675921352,57887.37677470075,22911.988636848877,875.9586670981408
83,16314.511067830445,58975.557480211995,23565.800027495978,1144.1314244615235
84,14095.989521667774,60496.59231296472,24075.16496101838,1332.2532043488266
85,12323.030375367322,61690.96247103763,24513.53708461004,1472.4700689849249
86,10945.307995629855,62606.29091223165,24867.40434658776,1580.9967455504907
87,9847.739139574385,63331.90227994574,25152.908711168366,1667.449869311618
88,89602.81948068886,8620.51876257407,1708.102701170485,68.55905556624366
89,24083.118505835082,57046.879750519125,17967.554150885066,902.4475927605479
90,18133.00403380486,57519.45954780413,22595.701374305212,1751.8350440856814
91,16143.764500914427,58405.190671451055,23168.38201498152,2282.662812653087
92,13952.464576297978,59776.32178061598,23617.107022410808,2654.106620675222
93,12198.67077427967,60861.46653892201,24009.340247246586,2930.5224395516916
94,10834.963899064413,61693.245163838554,24327.55688875218,3144.2340483448174
95,9748.428052135718,62352.4868126074,24584.743234995312,3314.341900261438
96,89359.97342107932,8808.049868259339,1727.0181305070325,104.95858015416687
97,23810.086748336125,56993.505044417994,17834.615777232135,1361.7924300137583
98,17941.43442824067,57150.53838621628,22280.47565673658,2627.551528806653
99,15973.138471659067,57836.934941953565,22774.368729515492,3415.5578568717265
100,13809.001149097394,59061.01393176389,23164.40272548194,3965.5821936565235
101,12074.383425496924,60039.31589649237,23512.062121574974,4374.238556435844
102,10724.698783492187,60789.55793792526,23795.894353248717,4689.848925333838
103,9649.193260435055,61384.136788739444,24025.806508103025,4940.86344272241
104,89112.57388446627,8998.765887718948,1745.8376399779763,142.82258783657232
105,23538.990265780645,56935.37581449457,17699.163218133093,1826.47070159163
106,17749.97013267814,56780.65571249054,21966.342966980053,3503.0311878513157
107,15802.632240758205,57270.82087843688,22383.765619077552,4542.781261727152
108,13665.597320833573,58350.67276012127,22717.027242099106,5266.702676945812
109,11950.166095388868,59224.484525469066,23021.649176807572,5803.700202334265
110,10614.51086292749,59895.17368515802,23272.33730450303,6217.978147411235
111,9550.03340772844,60426.76948329489,23475.996122582415,6547.200986394365
112,88860.57515613211,9192.686417356808,1764.548166177141,182.19026033392117
113,23269.78807629813,56872.54633881435,17561.24461925214,2296.420965635437
114,17558.614144027448,56409.853765382875,21653.334328976223,4378.197761613397
115,15632.245094163378,56706.878558859506,21996.577609611326,5664.298737365689
116,13522.25117196436,57645.30179446782,22274.955412440064,6557.4916211275995
117,11826.016515879426,58416.946145144866,22538.047852941083,7218.989486034673
118,10504.398304824985,59010.03684849585,22756.806615854097,7728.758230825118
119,9450.947096026966,59480.30243236521,22935.21031458074,8133.540157027094
120,88603.9325900919,9389.829727714436,1783.1362512672533,223.10143092647598
121,23002.439872444782,56805.07077896389,17420.90833119418,2771.581017397073
122,17367.369429329523,56038.174594368444,21341.480307138405,5252.975669163424
123,15461.976343873093,56145.137553513574,21612.80911000302,6780.076992610209
124,13378.96078375244,56944.90410276767,21838.161751782278,7837.973361697783
125,11701.93238489048,57616.674217910586,22061.204566564204,8620.18883063494
126,10394.359229450816,58134.09186877839,22249.223473056572,9222.32542871415
127,9351.932884919363,58544.65343743109,22403.347964875433,9700.065712774034
128,88342.60267699158,9590.212701859826,1801.5880397117255,265.59658143694526
129,22736.90603026655,56733.00316613135,17278.202885843762,3251.887917758529
130,17176.238927001585,55665.66005425247,21030.81100580698,6127.2900129389145
131,15291.82532873801,55585.62692615708,21232.464017087394,7890.083728017759
132,13235.72423941963,56249.48229625739,21406.62045725505,9108.17300706771
133,11577.911366844555,56823.64195471007,21591.065716593483,10007.380961852157
134,10284.391709291951,57267.28319024531,21749.509377696184,10698.815722766625
135,9252.989290393889,57619.74056956526,21880.308599366497,11246.961540674462
136,88076.5431128663,9793.850773291198,1819.8892753258276,309.71683851685094
137,22473.147617035393,56656.39738827536,17133.176973380825,3737.278021308804
138,16985.225548087896,55292.351799872384,20721.356068787118,7001.066583252798
139,15121.791415282125,55028.37523518344,20855.545720678194,8994.287628856458
140,13092.53962534151,55559.03853350845,20980.305414556413,10368.116426593771
141,11453.951093228208,56037.82232041679,21127.5776899357,11380.648896419421
142,10174.493768507013,56409.55526597639,21257.58615051676,12158.364814999853
143,9154.11478366224,56705.48217358716,21365.992389488485,12774.410653261868
144,87805.71286866802,10000.757863451603,1838.0252986657692,355.5039692146557
145,22211.126397721306,56575.307178332325,16985.87941996646,4227.687003979877
146,16794.332177514487,54918.291280894264,20413.14467897021,7874.231862621083
147,14951.873998540425,54473.41053483108,20482.0571086247,10092.65835800386
148,12949.40503228263,54873.57452445492,20559.190204631002,11617.830238631286
149,11330.049163218198,55259.18803913341,20670.686867078282,12740.07593056995
150,10064.663382422017,55560.852563257926,20773.375934661904,13601.108119658187
151,9055.30778998814,55801.79687217128,20860.300152543223,14282.595185297192
152,87530.07226047064,10210.946318951903,1855.9810447735408,403.0003758039502
153,21950.804840266177,56489.786103404185,16836.35916608606,4723.0498902435165
154,16603.56167534837,54543.51973670187,20106.205558038615,8746.713029911181
155,14782.072502912619,53920.76037642843,20112.000571890727,11185.166548768117
156,12806.318556672715,54193.09153439813,20143.24811031376,12857.341798615318
157,11206.203144372163,54487.71159941269,20220.33962760834,14085.745628606639
158,9954.898477074246,54721.11956886776,20296.801198830242,15027.180755227795
159,8956.566687524173,54908.60356990018,20363.133351952278,15771.696390623227
160,91172.477364721,7231.5938893149805,1566.7677140937167,29.16103187032144
161,25108.425081025176,55285.54328748287,19179.616661961314,426.4149695305004
162,18789.775683256245,55060.81614341921,25301.833738923237,847.5744344010951
163,17295.03768030883,55564.562159728725,26034.714563365513,1105.685596596768
164,15085.694570506144,57057.42516069912,26571.248255535873,1285.6320132590572
165,13194.211450065268,58314.90885503842,27070.91607371349,1419.9636211826987
166,11710.252083394284,59276.96440100728,27488.646911914693,1524.1366036836932
167,10530.872072320373,60032.32746879654,27829.569323454507,1607.2311354285346
168,90945.3747924544,7407.302285035204,1587.6806000005724,59.642322509872216
169,24808.881733289232,55269.20558354169,19063.114377887734,858.7983052815641
170,18591.873394241033,54740.91705231535,24971.40654149262,1695.80301195101
171,17109.623736428828,55064.059811972904,25619.399512840515,2206.9169387576176
172,14929.903734182151,56415.749065037664,26091.962392407255,2562.3848083730204
173,13060.562031976153,57570.406307551304,26541.701731797355,2827.329928674992
174,11592.192487272949,58454.6482392716,26920.578579792105,3032.5806936634017
175,10424.73495473062,59148.45926671633,27230.6273695256,3196.1784090272945
176,90713.49799106865,7586.4364122845145,1608.582082169915,91.48351447695654
177,24511.974240267275,55247.588062647235,18943.346999372796,1297.0906977125655
178,18394.046285179025,54419.692082290436,24641.65677290409,2544.604859626498
179,16924.405169138918,54564.83644504678,25207.11116672156,3303.6472190925265
180,14774.18953043907,55777.86856714893,25617.680731566852,3830.26117084549
181,12926.982805716867,56831.763778768116,26019.100482878363,4222.152932636517
182,11474.220409058222,57639.92416742485,26360.421340669684,4525.434082847312
183,10318.690754331572,58273.6588598856,26640.66348378887,4766.986901993871
184,90476.78656959686,7769.028888160795,1629.4595065192545,124.72503572337779
185,24217.647132322956,55220.754955625365,18820.36609549543,1741.2318165563915
186,18196.299603474064,54097.179301777236,24312.621405484475,3393.8996892642117
187,16739.381648950177,54066.92473437228,24797.863039812313,4395.830576865174
188,14618.550379697292,55143.79607314334,25148.388818048683,5089.264729110534
189,12793.471073048124,56098.97071707413,25503.07106040549,5604.487149472141
190,11356.333233848518,56832.75830908293,25808.10980365915,6002.798653409727
191,10212.73740160032,57407.87049941274,26059.590805219894,6319.801293767076
192,90235.18101261035,7955.111137711139,1650.2997489591774,159.40810071940822
193,23925.845676628072,55188.770273729795,18694.223701728624,2191.160347913835
194,17998.638545457223,53773.416687088546,23984.336964381284,4243.60780307306
195,16554.55288286001,53570.35691809756,24391.668105906865,5483.422093135503
196,14462.98472514802,54513.54354842001,24684.071782192237,6339.399944239886
197,12660.024120151835,55372.0162684241,24993.572020668387,6974.387590755677
198,11238.528297936939,56033.11667548651,25263.57867889307,7464.776347683553
